IDParameter,IDMacroKind,IDParameterClass,IDUnit,Name,Position,DefaultValue,SourceReference,InOut,Optional,State,MinValue,MaxValue,IDGlobal
127,9,7,0,P1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
128,9,8,0,P2,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
129,10,7,0,Pin1,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
130,10,8,0,Pin2,2,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
131,10,32,0,Pin3,3,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (3))),0,0,0,-99999999999.0,99999999999.0,0
134,20,4,4,VALUE,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
135,20,5,0,TOLP,1,10,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
136,20,7,0,PIN1,2,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
140,21,7,0,Pin1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
141,21,8,0,Pin2,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
142,21,32,0,Pin3,2,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (3))),0,0,0,-99999999999.0,99999999999.0,0
143,22,4,4,VALUE,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,-99999999999.0,99999999999.0,0
145,22,34,0,PINLIST,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
149,23,4,4,Value,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
150,23,4,4,Value_1,1,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
151,23,2,4,GenericNumber,2,1,,0,0,0,-99999999999.0,99999999999.0,0
152,23,5,0,TolP,3,30,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
153,23,7,0,Pin1,4,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
154,23,8,0,Pin2,5,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
155,23,32,0,Pin3,6,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (3))),0,0,0,-99999999999.0,99999999999.0,0
156,23,33,0,Pin4,7,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (4))),0,0,0,-99999999999.0,99999999999.0,0
157,24,4,4,VALUE,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
158,24,5,0,TOLP,1,10,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
160,24,7,0,Pin1,2,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
161,24,8,0,Pin2,3,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
162,18,6,0,TOLM,2,10,SELECT tabComponent.ToleranceNeg FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
163,18,2,10,MODE,6,1,,0,1,0,-99999999999.0,99999999999.0,0
164,18,2,12,MRC,10,-1,,0,1,0,-99999999999.0,99999999999.0,0
165,18,2,11,NER,7,-1,,0,1,0,-99999999999.0,99999999999.0,0
166,18,13,0,PIN2GUA,12,,SELECT detComponentGenericPList.IDPin1 FROM tabPin INNER JOIN detComponentGenericPList ON tabPin.IDPin = detComponentGenericPList.IDPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,1,0,-99999999999.0,99999999999.0,0
167,18,3,0,MANGUA,13,,,0,1,0,-99999999999.0,99999999999.0,0
168,18,16,1,CPARAL,14,,SELECT tabComponent.CParal FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,-99999999999.0,99999999999.0,0
169,18,17,2,LPARAL,15,0,SELECT tabComponent.LParal FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,-99999999999.0,99999999999.0,0
170,18,22,0,PIN1_2,16,,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
171,18,23,0,PIN2_2,17,,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
172,2,2,5,TIME,3,-1,,0,1,0,-99999999999.0,99999999999.0,0
173,2,2,0,NRC,5,-1,,0,1,0,-99999999999.0,99999999999.0,0
174,2,2,12,MRC,6,-1,,0,1,0,-99999999999.0,99999999999.0,0
175,2,2,11,NER,4,-1,,0,1,0,-99999999999.0,99999999999.0,0
176,2,2,24,MODE,2,0,,0,0,0,-99999999999.0,99999999999.0,0
198,26,4,1,VALUE,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
199,26,5,0,TOL,1,20,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
200,26,6,0,TOLM,2,20,SELECT tabComponent.ToleranceNeg FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
201,26,7,0,PIN1,3,0,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
202,26,8,0,PIN2,4,0,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
203,26,2,10,MODE,5,1,,0,1,0,-99999999999.0,99999999999.0,0
204,26,2,5,TIME,6,-1,,0,1,0,-99999999999.0,99999999999.0,0
205,26,2,11,NER,7,-1,,0,1,0,-99999999999.0,99999999999.0,0
206,26,2,4,MES,8,-1,,0,1,0,-99999999999.0,99999999999.0,0
207,26,2,0,NRC,9,-1,,0,1,0,-99999999999.0,99999999999.0,0
208,26,2,12,MRC,10,-1,,0,1,0,-99999999999.0,99999999999.0,0
209,26,12,0,PIN1GUA,11,0,SELECT detComponentGenericPList.IDPin1 FROM tabPin INNER JOIN detComponentGenericPList ON tabPin.IDPin = detComponentGenericPList.IDPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,1,0,-99999999999.0,99999999999.0,0
210,26,13,0,PIN2GUA,12,0,SELECT detComponentGenericPList.IDPin1 FROM tabPin INNER JOIN detComponentGenericPList ON tabPin.IDPin = detComponentGenericPList.IDPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,1,0,-99999999999.0,99999999999.0,0
211,26,3,0,MANGUA,13,0,,0,1,0,-99999999999.0,99999999999.0,0
212,26,2,0,CPARAS,14,0,,0,1,0,-99999999999.0,99999999999.0,0
213,26,15,3,RPARAL,15,-1,SELECT tabComponent.RParal FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,-99999999999.0,99999999999.0,0
214,26,17,2,LPARAL,16,0,SELECT tabComponent.LParal FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,-99999999999.0,99999999999.0,0
215,26,2,0,CSYST,17,0,,0,1,0,-99999999999.0,99999999999.0,0
216,26,22,0,PIN1_2,18,0,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
217,26,23,0,PIN2_2,19,0,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
220,17,2,5,TIME,2,-1,,0,1,0,-99999999999.0,99999999999.0,0
221,17,2,11,NER,3,-1,,0,1,0,-99999999999.0,99999999999.0,0
222,17,2,3,IMPEDANCE,4,-1,,0,1,0,-99999999999.0,99999999999.0,0
223,17,2,4,VOLTAGE,5,-1,,0,1,0,-99999999999.0,99999999999.0,0
234,29,4,28,Value,3,1000000,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
235,29,5,9,TolP,4,100,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
236,29,6,9,TolN,5,100,SELECT tabComponent.ToleranceNeg FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
238,29,7,0,PIN1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
239,29,19,0,PinGND,1,,SELECT tabPin.IDPin FROM tabSignal INNER JOIN tabPin ON tabSignal.IDSignal = tabPin.IDSignal WHERE (((tabPin.Test) LIKE 'F*') AND ((tabSignal.IDSignalKind)=1)),0,0,0,-99999999999.0,99999999999.0,0
256,30,7,0,PIN1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
257,30,8,0,PIN2,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
260,30,2,11,NER,4,-1,,0,1,0,-99999999999.0,99999999999.0,0
263,30,2,3,IMPEDANCE,2,-1,,0,1,0,-99999999999.0,99999999999.0,0
264,30,2,5,TIME,3,-1,,0,1,0,-99999999999.0,99999999999.0,0
271,38,2,9,fLearn,0,0,,0,0,0,-99999999999.0,99999999999.0,0
272,38,2,9,nProbe,1,0,,0,0,0,-99999999999.0,99999999999.0,0
282,41,3,0,SolderJoint,0,,,0,0,0,-99999999999.0,99999999999.0,0
283,41,2,30,PreHeatPower,1,11.176,,0,0,0,-99999999999.0,99999999999.0,0
284,41,2,30,SolderPower,3,21.046,,0,0,0,-99999999999.0,99999999999.0,0
285,41,2,30,PSSoldPower,5,14.466,,0,0,0,-99999999999.0,99999999999.0,0
286,41,2,5,PreHeatTime,2,0.2,,0,0,0,-99999999999.0,99999999999.0,0
287,41,2,8,WireNear,7,0.005,,0,0,0,-99999999999.0,99999999999.0,0
288,41,2,5,SolderTime,4,0.5,,0,0,0,-99999999999.0,99999999999.0,0
289,41,2,8,WireLength,8,0.002,,0,0,0,-99999999999.0,99999999999.0,0
290,41,2,5,PSSoldTime,6,0.2,,0,0,0,-99999999999.0,99999999999.0,0
291,41,2,8,SpotDiameter,10,0.0012,,0,0,0,-99999999999.0,99999999999.0,0
292,41,2,8,PinDiameter,11,0.02,,0,0,0,-99999999999.0,99999999999.0,0
293,41,2,8,PCBDistance,14,0,,0,0,0,-99999999999.0,99999999999.0,0
294,41,2,9,HeadRotation,12,0,,0,0,0,-99999999999.0,99999999999.0,0
296,41,2,9,ProcessSimul,15,0,,0,0,0,-99999999999.0,99999999999.0,0
297,42,7,0,PIN1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
298,42,8,0,PIN2,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
299,42,2,3,IMPEDANCE,2,-1,,0,1,0,-99999999999.0,99999999999.0,0
300,42,2,5,TIME,3,-1,,0,1,0,-99999999999.0,99999999999.0,0
301,42,2,11,NER,4,-1,,0,1,0,-99999999999.0,99999999999.0,0
302,43,7,0,PIN1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
303,43,8,0,PIN2,1,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
305,43,2,5,TIME,2,-1,,0,1,0,-99999999999.0,99999999999.0,0
306,43,2,11,NER,3,-1,,0,1,0,-99999999999.0,99999999999.0,0
307,43,2,3,IMPEDANCE,4,-1,,0,1,0,-99999999999.0,99999999999.0,0
308,43,2,4,VOLTAGE,5,-1,,0,1,0,-99999999999.0,99999999999.0,0
309,29,21,9,MeasureType,2,2,,0,0,0,-99999999999.0,99999999999.0,0
310,44,7,0,PIN1,0,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
311,44,19,0,PinGND,1,,SELECT tabPin.IDPin FROM tabSignal INNER JOIN tabPin ON tabSignal.IDSignal = tabPin.IDSignal WHERE (((tabPin.Test) LIKE 'F*') AND ((tabSignal.IDSignalKind)=1)),0,0,0,-99999999999.0,99999999999.0,0
312,44,21,9,MeasureType,2,2,,0,0,0,-99999999999.0,99999999999.0,0
313,44,4,28,Value,3,1000000,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
314,44,5,9,TolP,4,100,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
315,44,6,9,TolN,5,100,SELECT tabComponent.ToleranceNeg FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,-99999999999.0,99999999999.0,0
316,41,2,9,SolderStep,9,1,,0,0,0,-99999999999.0,99999999999.0,0
335,47,4,3,Value,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,0.0,1000000000.0,0
336,47,5,9,TolPos,1,10,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,0.0,100.0,0
337,47,6,9,TolNeg,2,10,SELECT tabComponent.ToleranceNeg FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,0.0,100.0,0
338,47,7,0,Pin1,3,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
339,47,8,0,Pin2,4,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
340,47,22,0,SensePin1,5,,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
341,47,23,0,SensePin2,6,,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
342,47,12,0,GuardPin1,7,,SELECT detComponentGenericPList.IDPin1 FROM tabPin INNER JOIN detComponentGenericPList ON tabPin.IDPin = detComponentGenericPList.IDPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,1,0,-99999999999.0,99999999999.0,0
343,47,13,0,GuardPin2,8,,SELECT detComponentGenericPList.IDPin1 FROM tabPin INNER JOIN detComponentGenericPList ON tabPin.IDPin = detComponentGenericPList.IDPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,1,0,-99999999999.0,99999999999.0,0
344,47,2,34,Wire,11,-1,,0,1,0,-99999999999.0,99999999999.0,0
345,47,2,9,Quality,12,-1,,0,1,0,-1.0,100.0,307
346,47,2,33,MeasureMode,13,-1,,0,1,0,-99999999999.0,99999999999.0,313
347,47,2,31,TestResult,14,-1,,0,1,0,-99999999999.0,99999999999.0,315
348,47,2,32,MeasureType,15,-1,,0,1,0,-99999999999.0,99999999999.0,310
349,47,2,9,Recycle,16,-1,,0,1,0,-1.0,1000000.0,320
350,47,2,5,Time,17,-1,,0,1,0,-1.0,1.0,336
351,47,2,7,Frequency,18,-1,,0,1,0,-1.0,100000.0,337
352,47,2,4,Volt,19,-1,,0,1,0,-1.0,100.0,300
353,47,2,9,SettlingWave,20,-1,,0,1,0,-1.0,100.0,304
354,47,2,3,BoardOffset,21,0,,0,1,0,-100000000.0,100000000.0,0
355,47,2,1,CapSer,22,0,,0,1,0,0.0,1.0,0
356,47,16,1,CapPar,23,0,SELECT tabComponent.CParal FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,0.0,1.0,0
357,47,2,2,IndSer,24,0,,0,1,0,0.0,100.0,0
358,47,17,2,IndPar,25,0,SELECT tabComponent.LParal FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,1,0,0.0,100.0,0
359,47,24,3,ResGuardPin1,26,0,,0,1,0,0.0,100000000.0,0
360,47,26,3,ResGuardPin2,28,0,,0,1,0,0.0,100000000.0,0
361,47,25,1,CapGuardPin1,27,0,,0,1,0,0.0,1.0,0
362,47,27,1,CapGuardPin2,29,0,,0,1,0,0.0,1.0,0
363,48,4,1,Value,0,,SELECT tabComponent.Value1 FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,0.0,1.0,0
364,48,5,9,TolPos,1,30,SELECT tabComponent.TolerancePos FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,0.0,100.0,0
365,48,6,9,TolNeg,2,20,SELECT tabComponent.ToleranceNeg FROM tabComponent WHERE (((tabComponent.IDComponent)=@1)),0,0,0,0.0,100.0,0
366,48,7,0,Pin1,3,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (1))),0,0,0,-99999999999.0,99999999999.0,0
367,48,8,0,Pin2,4,,SELECT tabPin.IDPin FROM tabPin WHERE (((tabPin.IDComponent)=@1) AND ((tabPin.PinNumber) In (2))),0,0,0,-99999999999.0,99999999999.0,0
368,48,22,0,SensePin1,5,,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=1))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
369,48,23,0,SensePin2,6,,"SELECT tabPin.IDPin, tabPin.Channel FROM tabPin WHERE (((tabPin.Test) LIKE 'T*' Or (tabPin.Test) LIKE 'Y*' Or (tabPin.Test) LIKE 'F*') AND ((tabPin.IDSignal) In ((SELECT tabPin.IDSignal FROM  tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2)))))) AND ((tabPin.Channel)<>(SELECT TOP 1 tabPin.Channel FROM  tabPin WHERE (((tabPin.IDSignal)=(SELECT tabPin.IDSignal FROM tabPin WHERE (((tabPin.IDComponent=@1) AND ((tabPin.PinNumber)=2))))) AND ((tabPin.Test) LIKE 'F*'))))) ORDER BY tabPin.Test",0,1,0,-99999999999.0,99999999999.0,0
